OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,BinaryObjectFileName,BinaryObjectFileTypeCode,ActivityFileUrl,ActivityMetricUrl,ActivityGroupUrl,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.02204018,Sample-Routine,Water,Surface Water,2022-05-25,09:17:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-373540122094301,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Mulitple samplers used,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02305306,Sample-Routine,Water,Surface Water,2023-07-19,13:30:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374027122130401,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Van Dorn sampler,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02101851,Sample-Routine,Water,Surface Water,2021-01-28,13:13:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,USGS parameter code 82398,SuspSed; Pumping - stream sample using a pumping mechanism,,,"Sampler, point, automatic",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02100883,Sample-Routine,Sediment,Bottom material,2020-12-17,11:48:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176145,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,USGS parameter code 82398,Point sample,,,Bed Material -- Scoop Shovel,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200902,Sample-Routine,Water,Surface Water,2021-12-14,16:29:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,USGS parameter code 82398,Equal discharge increment (edi),,,"Sampler, US D-74",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202922,Sample-Routine,Water,Surface Water,2022-04-07,13:54:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11179000,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202779,Sample-Routine,Water,Surface Water,2022-03-17,13:47:00,PDT,,,,,,,,,,,,,,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,USGS parameter code 82398,"Single vertical, depth integrated",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02202405,Sample-Routine,Water,Surface Water,2022-03-11,14:08:00,PST,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11176900,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02103015,Sample-Routine,Water,Surface Water,2021-04-13,12:50:00,PDT,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-11181040,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,USGS parameter code 82398,"Single vertical, depth integrated",,,"Sampler, US DH-48",,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.02200505,Sample-Routine,Water,Surface Water,2021-11-09,13:16:00,PST,,,,,,,,,,,,,,USGS-11176090,,,"Stable, normal stage",Routine sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,,,NWIS
