OrganizationIdentifier,OrganizationFormalName,ProjectIdentifier,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
CEDEN,California State Water Resources Control Board,WES_Sep14-Feb15,"WES Order R5-2014-0002, Jun 15th 2015, Sep14-Feb15","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2015 Submittal , Semi Annual, Sample Dates Sep14- Feb15",,,,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2012,ACCWP Creek Status Monitoring in WY2012,Alameda Countywide Clean Water Program Creek Status Monitoring in WY2012,,,,,
CEDEN,California State Water Resources Control Board,RWB2_Ref_2010,RWB2 Reference Study Monitoring 2010,RWB2 Reference Study Monitoring 2010,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,17RMP2MC,2017 RMP Margins Special Study,"This study will provide an unbiased spatially distributed characterization of surface sediment contamination and ancillary characteristics (grain size, TOC, etc.) in shallow Central Bay margin areas, weighted towards urbanized areas.",,,,,
CEDEN,California State Water Resources Control Board,RWB2_RMC_2013,RWB2 Regional Monitoring Coalition Reference 2013,18 non-urban probabilistic sites (perennial and non-perennial),,,Not Recorded,,
CEDEN,California State Water Resources Control Board,WES_Sep12-Feb13,"WES Order R5-2008-0005, Jun 15th 2013, Sep12-Feb13","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, June 15th 2013 Submittal , Semi Annual, Sample Dates Sep12-Feb13",,,,,
CEDEN,California State Water Resources Control Board,13GI2FM,2013 SFEI GI Monitoring Fremont CA - Tree Well,"2013 SFEI Green Infrastructure Monitoring in Fremont, CA - Tree Well LID Pilot Study",,,,,
CEDEN,California State Water Resources Control Board,WES_Sep20-Feb21,"WES Order R5-2014-0002, Jun 15th 2021, Sep20-Feb21","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2021 Submittal , Semi Annual, Sample Dates Sep21- Feb21",,,,,
CEDEN,California State Water Resources Control Board,WES_Mar19-Aug19,"WES Order R5-2014-0002, Nov 30th 2019, Mar19-Aug19","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2019 Submittal , Semi Annual, Sample Dates Mar19-Aug19",,,,,
CEDEN,California State Water Resources Control Board,WES_Sep18-Feb19,"WES Order R5-2014-0002, Jun 15th 2019, Sep18-Feb19","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2019 Submittal , Semi Annual, Sample Dates Sep18- Feb19",,,,,
CEDEN,California State Water Resources Control Board,WES_Mar21-Aug21,"WES Order R5-2014-0002, Nov 30th 2021, Mar21-Aug21","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2021 Submittal , Semi Annual, Sample Dates Mar21-Aug21",,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2019,Statewide Stream Pollution Trends Study 2019,Stream Pollution Trends Study,,,,,
CEDEN,California State Water Resources Control Board,CCCWP_CSM_WY2012,CCCWP Creek Status Monitoring in WY2012,Contra Costa County Clean Water Program Creek Status Monitoring in WY2012,,,,,
CEDEN,California State Water Resources Control Board,BrAvGrnSt_Post,Brighton Avenue Pilot Green Street Project Post,Post-construction samples of stormwater runoff for a broad water chemistry analysis prior to construction of green infrastructure in school/residential neighborhood,,,,,
CEDEN,California State Water Resources Control Board,SWB_NLA_2012,SWAMP National Lake Assessment EPA,SWAMP National Lake Assessment EPA,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,WES_Mar14-Aug14,"WES Order R5-2014-0002, Nov 30th 2014, Mar14-Aug14","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2014 Submittal , Semi Annual, Sample Dates Mar14-Aug14",,,,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2015,Statewide Perennial Streams Assessment 2015,Perennial Streams Assessment (PSA) 2015,,,,,
CEDEN,California State Water Resources Control Board,15RMP2ST,2015 RMP Status and Trends,2015 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,WES_ Sep13-Feb14,"WES Order R5-2014-0002, Jun 15th 2014, Sep13-Feb14","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 30th 2014 Submittal , Semi Annual, Sample Dates Sep13- Feb14",,,,,
CEDEN,California State Water Resources Control Board,2014 RMP FISH,2014 RMP FISH,2014 SF Bay Regional Monitoring Program - Sportfish,,,,,
CABEACH_WQX,California State Water Resource Control Board,CA549911,Crown Beach (Alameda Co),Crown Beach,,,,,
CEDEN,California State Water Resources Control Board,WES_Sep16-Feb17,"WES Order R5-2014-0002, Jun 15th 2017, Sep16-Feb17","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2017 Submittal , Semi Annual, Sample Dates Sep16- Feb17",,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_NLA2012_ECOREGION_XER,EPA NARS NLA2012 EcoRegion - Xeric,National Aquatic Resource Surveys (NARS) 2012  National Lakes Assessment (NLA),"Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method, you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.",,,,
CEDEN,California State Water Resources Control Board,SWB_RCMP_2019,Statewide Ref Condition Management Plan 2019,Reference Condition Management Plan (RCMP) 2019,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2016,ACCWP Creek Status Monitoring in WY2016,Alameda County Clean Water Program Creek Status Monitoring in WY2016,,,,,
CEDEN,California State Water Resources Control Board,16SLB2SS-SEP,RMP Special Study San Leandro Bay PCB Study (SEP),RMP Special Study San Leandro Bay PCB Study (Supplemental Environmental Project Study),,,,,
CEDEN,California State Water Resources Control Board,WES_Mar17-Aug17,"WES Order R5-2014-0002, Nov 30th 2017, Mar17-Aug17","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2017 Submittal , Semi Annual, Sample Dates Mar17-Aug17",,,,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2017,Statewide Perennial Streams Assessment 2017,Perennial Streams Assessment (PSA) 2017,,,,,
CEDEN,California State Water Resources Control Board,18RMP2ST,2018 RMP Status and Trends,2018 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,WES_Sep11-Feb12,"WES Order R5-2008-0005, Jun 15th 2012, Sep11-Feb12","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, June 15th 2012 Submittal , Semi Annual, Sample Dates Sep11-Feb12",,,,,
21CABCH,Southern California Coastal Water Research Project (BEACH),CA549911,Crown Beach (Alameda Co),Ocean Reach Conducted in 2014,,,,,
CEDEN,California State Water Resources Control Board,BASMAA_RMC_FY2012,BASMAA Regional Monitoring Coalition FY 2011-2012,Monitoring,,,BASMAA_CW4CB_QAPPv1,,
CEDEN,California State Water Resources Control Board,WES_Mar10-Aug10,"WES, Order R5-2008-0005, Nov 30th 2010, Mar10-Aug1","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, November 30th 2010 Submittal , Semi Annual, Sample Dates Mar10-Aug10",,,,,
CEDEN,California State Water Resources Control Board,WES_Sep17-Feb18,"WES Order R5-2014-0002, Jun 15th 2018, Sep17-Feb18","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2018 Submittal , Semi Annual, Sample Dates Sep17- Feb18",,,,,
CEDEN,California State Water Resources Control Board,RWB2_Zone7_BA_2013,RWB2 Zone 7 Bioassessment monitoring - 2013,RWB2 Zone 7 Bioassessment monitoring - 2013,,,,,
CALWR_WQX,California Department Of Water Resources,1004,SWP Data,Not Specified,,,,,
CABEACH_WQX,California State Water Resource Control Board,CA580154,Alameda Point,Alameda Point Encinal Beach,,,,,
NALMS,North American Lake Management Society,GLEON Lake Observer,GLEON Lake Observer,Data collected using GLEON Lake Observer and that is considered as official NALMS Secchi Dip In data.,,N,,,
CEDEN,California State Water Resources Control Board,ACCWP_POC_WY2019,ACCWP Pollutants of Concern Monitoring in WY2019,ACCWP Pollutants of Concern Monitoring in WY2019,,,,,
