,ActivityIdentifier,Dissolved oxygen (DO),Nitrate,"Temperature, water",Turbidity,pH,ProjectIdentifier,ActivityStartDate,LongitudeMeasure,LatitudeMeasure,Year,Month,Day,Weekday,Hour,Previous_DO,Previous_Temp,Previous_Turb,Previous_pH,DO_lag1,Temp_lag1,Turb_lag1,pH_lag1,Predicted_DO(1 day into the future)
148,11NPSWRD_WQX-GOGA_CCSF_OM09_19890221_1433848,10.1,1.0,10.1,4.9399999999999995,7.58,GOGA0003,1989-02-21,-122.521677,37.772495,1989,2,21,1,0,10.2,10.2,4.9399999999999995,7.56,10.2,10.2,4.9399999999999995,7.56,10.100000000000016
149,11NPSWRD_WQX-GOGA_CCSF_OM09_19890221_1433850,10.1,1.0,10.1,4.9399999999999995,7.58,GOGA0003,1989-02-21,-122.521677,37.772495,1989,2,21,1,0,10.1,10.1,4.9399999999999995,7.58,10.1,10.1,4.9399999999999995,7.58,10.100000000000016
150,11NPSWRD_WQX-GOGA_CCSF_OM09_19890221_1433852,10.1,1.0,10.1,4.9399999999999995,7.59,GOGA0003,1989-02-21,-122.521677,37.772495,1989,2,21,1,0,10.1,10.1,4.9399999999999995,7.58,10.1,10.1,4.9399999999999995,7.58,10.100000000000016
151,11NPSWRD_WQX-GOGA_CCSF_OM09_19890221_1433853,10.1,1.0,10.1,4.9399999999999995,7.59,GOGA0003,1989-02-21,-122.521677,37.772495,1989,2,21,1,0,10.1,10.1,4.9399999999999995,7.59,10.1,10.1,4.9399999999999995,7.59,10.100000000000016
152,11NPSWRD_WQX-GOGA_CCSF_OM09_19890221_1433855,10.1,1.0,10.1,4.9399999999999995,7.59,GOGA0003,1989-02-21,-122.521677,37.772495,1989,2,21,1,0,10.1,10.1,4.9399999999999995,7.59,10.1,10.1,4.9399999999999995,7.59,10.100000000000016
153,11NPSWRD_WQX-GOGA_CCSF_OM09_19890307_1433857,10.8,1.0,10.8,4.9399999999999995,7.51,GOGA0003,1989-03-07,-122.521677,37.772495,1989,3,7,1,0,10.1,10.1,4.9399999999999995,7.59,10.1,10.1,4.9399999999999995,7.59,10.79999999999998
154,11NPSWRD_WQX-GOGA_CCSF_OM09_19890307_1433859,10.8,1.0,10.8,4.9399999999999995,7.52,GOGA0003,1989-03-07,-122.521677,37.772495,1989,3,7,1,0,10.8,10.8,4.9399999999999995,7.51,10.8,10.8,4.9399999999999995,7.51,10.79999999999998
155,11NPSWRD_WQX-GOGA_CCSF_OM09_19890307_1433861,10.7,1.0,10.7,4.9399999999999995,7.52,GOGA0003,1989-03-07,-122.521677,37.772495,1989,3,7,1,0,10.8,10.8,4.9399999999999995,7.52,10.8,10.8,4.9399999999999995,7.52,10.70000000000002
156,11NPSWRD_WQX-GOGA_CCSF_OM09_19890307_1433862,10.5,1.0,10.5,4.9399999999999995,7.53,GOGA0003,1989-03-07,-122.521677,37.772495,1989,3,7,1,0,10.7,10.7,4.9399999999999995,7.52,10.7,10.7,4.9399999999999995,7.52,10.5
157,11NPSWRD_WQX-GOGA_CCSF_OM09_19890307_1433864,10.3,1.0,10.3,4.9399999999999995,7.53,GOGA0003,1989-03-07,-122.521677,37.772495,1989,3,7,1,0,10.5,10.5,4.9399999999999995,7.53,10.5,10.5,4.9399999999999995,7.53,10.299999999999981
