,ActivityIdentifier,Calcium,Magnesium,Potassium,Sodium,"Sodium, percent total cations",ProjectIdentifier,ActivityStartDate,ActivityStartTime/Time_PST,LongitudeMeasure,LatitudeMeasure
0,11NPSWRD_WQX-PRSF_WQ_EL2_20120426_L^01,,89.0,,,,PRSF_WQ,2012-04-26,13:00:00,-122.45543,37.7939
1,11NPSWRD_WQX-PRSF_WQ_EL2_20120529_L^01,,85.0,,,,PRSF_WQ,2012-05-29,13:10:00,-122.45543,37.7939
2,11NPSWRD_WQX-PRSF_WQ_TH2_20120426_L^01,,72.0,,,,PRSF_WQ,2012-04-26,12:25:00,-122.454666666,37.79786111
3,11NPSWRD_WQX-PRSF_WQ_TH2_20120529_L^01,,47.0,,,,PRSF_WQ,2012-05-29,12:30:00,-122.454666666,37.79786111
4,11NPSWRD_WQX-PRSF_WQ_TH3_20120426_L^01,,50.0,,,,PRSF_WQ,2012-04-26,12:00:00,-122.454333333,37.80113889
5,11NPSWRD_WQX-PRSF_WQ_TH3_20120529_L^01,,44.0,,,,PRSF_WQ,2012-05-29,12:10:00,-122.454333333,37.80113889
6,CALWR_WQX-BL10B537390,90.0,,86.8,,,1001;12,2010-01-05,,-121.9197,38.0435
7,CALWR_WQX-BL10B537405,19.0,18.0,4.9,93.0,,1001;12,2010-01-05,,-121.61308333,37.9769167
8,CALWR_WQX-BL10B537420,20.0,17.0,4.6,83.0,,1001;12,2010-01-05,,-121.5702,37.891
9,CALWR_WQX-BL10B538021,,255.0,,,,1001;12,2010-01-05,,-121.9197,38.0435
10,CALWR_WQX-BL10B538022,,,,2130.0,,1001;12,2010-01-05,,-121.9197,38.0435
11,CALWR_WQX-BL10B538523,26.0,19.0,,82.0,,1004,2010-01-13,,-121.6203,37.8019
12,CALWR_WQX-BL10B538542,22.0,18.0,,77.0,,1004,2010-01-12,,-121.5574,37.8298
13,CALWR_WQX-BL10B538561,23.0,17.0,,72.0,,1004,2010-01-11,,-121.7419,37.6547
