OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.98800168,Sample-Routine,Water,Surface Water,1987-11-17,15:10:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374407122302601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-93018353,,,Calcium,Dissolved,330,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,AA008,USGS,"Calcium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 137",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800168,Sample-Routine,Water,Surface Water,1987-11-17,15:10:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374407122302601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-93018354,,,Magnesium,Dissolved,1000,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,AA022,USGS,"Magnesium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 263",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800168,Sample-Routine,Water,Surface Water,1987-11-17,15:10:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374407122302601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-93018355,,,Sodium,Dissolved,10000,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,AA035,USGS,"Sodium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 425",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800168,Sample-Routine,Water,Surface Water,1987-11-17,15:10:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374407122302601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-93018357,,,"Sodium, percent total cations",,80,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98800168,Sample-Routine,Water,Surface Water,1987-11-17,15:10:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374407122302601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-93018358,,,Potassium,Dissolved,280,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,AA030,USGS,"Potassium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 393",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98802628,Sample-Routine,Water,Surface Water,1987-11-17,09:00:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374330122295601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28534121,,,Calcium,Dissolved,31.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98802628,Sample-Routine,Water,Surface Water,1987-11-17,09:00:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374330122295601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28534122,,,Magnesium,Dissolved,32.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98802628,Sample-Routine,Water,Surface Water,1987-11-17,09:00:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374330122295601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28534123,,,Sodium,Dissolved,59.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98802628,Sample-Routine,Water,Surface Water,1987-11-17,09:00:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374330122295601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28534125,,,"Sodium, percent total cations",,38,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.98802628,Sample-Routine,Water,Surface Water,1987-11-17,09:00:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-374330122295601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-28534126,,,Potassium,Dissolved,2.10,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,AA030,USGS,"Potassium, wf, direct AAS (NWQL)",,"USGS TWRI 5-A1/1989, p 393",,,,,,,,,,NWIS
