OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.96700443,Sample-Routine,Water,Surface Water,1967-03-13,12:00:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26754478,,,Calcium,Dissolved,29.8,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.96700443,Sample-Routine,Water,Surface Water,1967-03-13,12:00:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26754479,,,Magnesium,Dissolved,8.30,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.96700443,Sample-Routine,Water,Surface Water,1967-03-13,12:00:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26754480,,,Sodium,Dissolved,20.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.96700443,Sample-Routine,Water,Surface Water,1967-03-13,12:00:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26754482,,,"Sodium, percent total cations",,28,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.96700443,Sample-Routine,Water,Surface Water,1967-03-13,12:00:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26754483,,,Potassium,Dissolved,2.13,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.96700476,Sample-Routine,Water,Surface Water,1967-01-22,11:30:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26755029,,,Calcium,Dissolved,19.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.96700476,Sample-Routine,Water,Surface Water,1967-01-22,11:30:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26755030,,,Magnesium,Dissolved,5.30,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.96700476,Sample-Routine,Water,Surface Water,1967-01-22,11:30:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26755031,,,Sodium,Dissolved,13.6,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.96700476,Sample-Routine,Water,Surface Water,1967-01-22,11:30:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26755033,,,"Sodium, percent total cations",,29,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.96700476,Sample-Routine,Water,Surface Water,1967-01-22,11:30:00,PST,,,,,,,,,,,,,,,USGS-11162500,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26755034,,,Potassium,Dissolved,2.50,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,,,,,,,,,,,,,,,NWIS
