OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.95400318,Sample-Routine,Water,Surface Water,1954-01-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210361,,,Calcium,Dissolved,20.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400318,Sample-Routine,Water,Surface Water,1954-01-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210362,,,Magnesium,Dissolved,14.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400318,Sample-Routine,Water,Surface Water,1954-01-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210363,,,Sodium,Dissolved,55.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400318,Sample-Routine,Water,Surface Water,1954-01-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210365,,,"Sodium, percent total cations",,52,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400318,Sample-Routine,Water,Surface Water,1954-01-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210366,,,Potassium,Dissolved,3.30,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95200141,Sample-Routine,Water,Surface Water,1951-11-21,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26162359,,,Sodium,Dissolved,70.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95200141,Sample-Routine,Water,Surface Water,1951-11-21,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26162361,,,"Sodium, percent total cations",,58,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95200140,Sample-Routine,Water,Surface Water,1951-10-18,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26162346,,,Sodium,Dissolved,128,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95200140,Sample-Routine,Water,Surface Water,1951-10-18,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26162348,,,"Sodium, percent total cations",,66,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300279,Sample-Routine,Water,Surface Water,1953-08-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26183205,,,Calcium,Dissolved,25.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300279,Sample-Routine,Water,Surface Water,1953-08-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26183206,,,Magnesium,Dissolved,30.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300279,Sample-Routine,Water,Surface Water,1953-08-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26183207,,,Sodium,Dissolved,218,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300279,Sample-Routine,Water,Surface Water,1953-08-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26183209,,,"Sodium, percent total cations",,72,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95300279,Sample-Routine,Water,Surface Water,1953-08-20,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26183210,,,Potassium,Dissolved,1.80,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400320,Sample-Routine,Water,Surface Water,1954-03-08,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210395,,,Calcium,Dissolved,18.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400320,Sample-Routine,Water,Surface Water,1954-03-08,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210396,,,Magnesium,Dissolved,11.0,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400320,Sample-Routine,Water,Surface Water,1954-03-08,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210397,,,Sodium,Dissolved,25.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400320,Sample-Routine,Water,Surface Water,1954-03-08,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210399,,,"Sodium, percent total cations",,37,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400320,Sample-Routine,Water,Surface Water,1954-03-08,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210400,,,Potassium,Dissolved,1.70,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400322,Sample-Routine,Water,Surface Water,1954-04-21,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210437,,,Calcium,Dissolved,12.0,mg/l,,Historical,,Actual,,,,,,,,,,,00915,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400322,Sample-Routine,Water,Surface Water,1954-04-21,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210438,,,Magnesium,Dissolved,5.90,mg/l,,Historical,,Actual,,,,,,,,,,,00925,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400322,Sample-Routine,Water,Surface Water,1954-04-21,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210439,,,Sodium,Dissolved,13.0,mg/l,,Historical,,Actual,,,,,,,,,,,00930,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400322,Sample-Routine,Water,Surface Water,1954-04-21,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210441,,,"Sodium, percent total cations",,34,%,,Historical,,Actual,,,,,,,,,,,00932,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.95400322,Sample-Routine,Water,Surface Water,1954-04-21,,,,,,,,,,,,,,,,,USGS-11337200,,,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-26210442,,,Potassium,Dissolved,1.00,mg/l,,Historical,,Actual,,,,,,,,,,,00935,,,,,,,,,,,,,,,,,,,,,,,NWIS
