,ActivityIdentifier,Enterococcus,Fecal Coliform,Total Coliform
0,11NPSWRD_WQX-PRSF_WQ_DF1_20100120_L,,,17000.0
1,11NPSWRD_WQX-PRSF_WQ_DF1_20100218_L,,,3400.0
2,11NPSWRD_WQX-PRSF_WQ_DF1_20100422_L,,,6900.0
3,11NPSWRD_WQX-PRSF_WQ_DF1_20110124_L,,,10000.0
4,11NPSWRD_WQX-PRSF_WQ_DF1_20110216_L,,,2900.0
5,11NPSWRD_WQX-PRSF_WQ_DF1_20110316_L,,,1200.0
6,11NPSWRD_WQX-PRSF_WQ_DF1_20110421_L,,,1100.0
7,11NPSWRD_WQX-PRSF_WQ_DF1_20110518_L,,,14000.0
8,11NPSWRD_WQX-PRSF_WQ_DF1_20110620_L,,,8700.0
9,11NPSWRD_WQX-PRSF_WQ_DF1_20110822_L,,,13000.0
10,11NPSWRD_WQX-PRSF_WQ_DF1_20110920_L,,,12000.0
11,11NPSWRD_WQX-PRSF_WQ_DF1_20111018_L,,,11000.0
12,11NPSWRD_WQX-PRSF_WQ_DF1_20111114_L,,,8700.0
13,11NPSWRD_WQX-PRSF_WQ_DF1_20111214_L,,,3000.0
14,11NPSWRD_WQX-PRSF_WQ_DF1_20120117_L,,,16000.0
15,11NPSWRD_WQX-PRSF_WQ_DF1_20120215_L,,,870.0
16,11NPSWRD_WQX-PRSF_WQ_DF1_20120322_L,,,1000.0
17,11NPSWRD_WQX-PRSF_WQ_DF1_20120426_L,,,5800.0
18,11NPSWRD_WQX-PRSF_WQ_DF1_20120529_L,,,16000.0
19,11NPSWRD_WQX-PRSF_WQ_DF1_20120821_L,,,9800.0
20,11NPSWRD_WQX-PRSF_WQ_DF1_20130220_L,,,14000.0
21,11NPSWRD_WQX-PRSF_WQ_DF1_20130319_L,,,5200.0
22,11NPSWRD_WQX-PRSF_WQ_DF1_20131217_L,,,24000.0
23,11NPSWRD_WQX-PRSF_WQ_DF1_20140122_L,,,17000.0
24,11NPSWRD_WQX-PRSF_WQ_DF1_20140225_L,,,4900.0
25,11NPSWRD_WQX-PRSF_WQ_DF1_20140325_L,,,5000.0
26,11NPSWRD_WQX-PRSF_WQ_DF1_20140422_L,,,9800.0
27,11NPSWRD_WQX-PRSF_WQ_DF1_20140527_L,,,20000.0
28,11NPSWRD_WQX-PRSF_WQ_DF1_20140624_L/1,,,24000.0
