OrganizationIdentifier,OrganizationFormalName,ProjectIdentifier,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
11NPSWRD_WQX,National Park Service Water Resources Division,EUON0001,Spring Schedule Data Sheet from 1980 in NPS-WRD,"Data are from a spring owned by the National Park Service that is located approximately 1000 feet southwest of Eugene O'Neil National Historic Site.  The data are from the Central Files Archive at the National Park Service Water Resources Division in Fort Collins, Colorado.  The spring appears to have been developed years ago by a French Drain System and has a series of pipes which deliver water by free fall into a circular holding well, where it is then piped to three redwood storage tanks.",,N,,,
CEDEN,California State Water Resources Control Board,RWB2_TMDL_HMB_2019,RWB2 Half Moon Bay Pathogen TMDL Study 2019,RWB2 Half Moon Bay Pathogen TMDL Study 2019,,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_NRSA2008_2009,National Rivers and Streams Assessment,National Aquatic Resource Surveys (NARS) 2008-2009 National Rivers and Streams Assessment (NRSA),,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2010,Statewide Stream Pollution Trends Study 2010,Stream Pollution Trends Study,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SJC_WY15_Q1,"SJC, Order R5-2014-0029, Jun 1st 2015, WY15, Q1","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, June 1st 2015 Submittal, Water Year 2015, Quarter 1, Sampling Dates Oct-Dec 2014",,,,,
CEDEN,California State Water Resources Control Board,WES_Sep14-Feb15,"WES Order R5-2014-0002, Jun 15th 2015, Sep14-Feb15","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2015 Submittal , Semi Annual, Sample Dates Sep14- Feb15",,,,,
CEDEN,California State Water Resources Control Board,SMCARM_2017,San Mateo Creek Aquatic Resource Monitoring - 2017,San Mateo Creek Aquatic Resource Monitoring - 2017,,,,,
OST_SHPD,"USEPA, Office of Water, Office of Science and Technology, Standards and Health Protection Division",USEPANLFTS,National Lake Fish Tissue Study,"This study is a national screening-level survey of chemical residues in fish tissue from lakes and reservoirs in the conterminous United States (lower 48 states), excluding the Laurentian Great Lakes and Great Salt Lake. It is unique among national assessments of fish contamination in lakes because the sampling sites were selected according to a statistical (random) design. Study results allow EPA to estimate the percentage of lakes and reservoirs in the United States with chemical concentrations in fish tissue that are above levels of potential concern for humans or for wildlife that eat fish. This study also includes the largest set of chemicals ever studied in fish. Whole fish and fillets were analyzed for 268 persistent, bioaccumulative, and toxic (PBT) chemicals, including mercury, arsenic, dioxins and furans, the full complement of polychlorinated biphenyl (PCB) congeners, and a large number of pesticides and semivolatile organic compounds.","Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method, you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.",Y,EPA,,
CEDEN,California State Water Resources Control Board,SCVURPPP_CSM_WY2015,SCVURPPP Creek Status Monitoring in WY2015,Santa Clara Valley Urban Runoff Pollution Prevention Program Creek Status Monitoring in WY2015,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2014,ACCWP Creek Status Monitoring in WY2014,Alameda Countywide Clean Water Program Creek Status Monitoring in WY2014,,,,,
