OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-11152900,CEDAR C NR BELL STATION CA,Stream,,18060002,12.8,sq mi,,,37.04994510000000,-121.3274310000000,24000,5,seconds,Interpolated from MAP.,NAD83,386,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153000,PACHECO C NR DUNNEVILLE CA,Stream,,18060002,146,sq mi,,,36.98000000000000,-121.3802778000000,24000,1,seconds,Interpolated from MAP.,NAD83,233.46,feet,.10,feet,Level or other surveyed method.,NAVD88,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153050,PACHECO C TRIB NR DUNNEVILLE CA,Stream,,18060002,0.17,sq mi,,,36.96522675000000,-121.4093790000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153470,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,Stream,,18060002,9.63,sq mi,,,37.14833330000000,-121.7683333000000,24000,1,seconds,Interpolated from MAP.,NAD83,668,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153480,CHESBRO RES NR MORGAN HILL CA,"Lake, Reservoir, Impoundment",,18060002,19.3,sq mi,,,37.11661326000000,-121.6938362000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153500,LLAGAS C NR MORGAN HILL CA,Stream,,18060002,19.6,sq mi,,,37.11439105000000,-121.6905028000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153530,LLAGAS C A MACHADO SCH NR MORGAN HILL CA,Stream,,18060002,24.1,sq mi,,,37.08966918000000,-121.6616127000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153555,LLAGAS C A SAN MARTIN CA,Stream,,18060002,28.2,sq mi,,,37.08689070000000,-121.6052214000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153650,LLAGAS C NR GILROY,Stream,,18060002,84.2,sq mi,,,36.98744858000000,-121.5271622000000,24000,1,seconds,Interpolated from MAP.,NAD83,160,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153700,PAJARO R NR GILROY CA,Stream,,18060002,399,sq mi,,,36.94828360000000,-121.5118842000000,,5,seconds,Interpolated from MAP.,NAD83,123.88,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,,NWIS
