,ActivityIdentifier,"Acidity, (H+)",Ammonia and ammonium,Arsenic,Barium,Barometric pressure,Bed sediment particle size,Bedload sediment flux,Bedload sediment particle size,Boron,Calcium,Carbon dioxide,Chloride,Depth,Fluoride,"Hardness, Ca, Mg","Height, gage",Magnesium,Nitrate,Nitrite,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Number of sampling points,Organic carbon,Orthophosphate,Oxygen,Phosphorus,Potassium,Refractive Index (RI),Silica,Sodium,Specific conductance,"Stream flow, instantaneous",Stream width measure,Sulfate,Suspended Sediment Concentration (SSC),Suspended Sediment Discharge,"Temperature, air","Temperature, water",Total volatile solids,Turbidity,pH
0,11NPSWRD_WQX-PRSF_WQ_DF1_20100120_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
1,11NPSWRD_WQX-PRSF_WQ_DF1_20100120_F^01,,,,,,,,,,,,,,,,1.5483840000000002,,,,,,,,,,,,,,273.0,,,,,,,10.5,,,6.98
2,11NPSWRD_WQX-PRSF_WQ_DF1_20100120_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,
3,11NPSWRD_WQX-PRSF_WQ_DF1_20100120_L^01,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,
4,11NPSWRD_WQX-PRSF_WQ_DF1_20100218_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
5,11NPSWRD_WQX-PRSF_WQ_DF1_20100218_F^01,,,,,,,,,,,,,,,,1.487424,,,,,,,,,,,,,,555.0,,,,,,,13.25,,,7.38
6,11NPSWRD_WQX-PRSF_WQ_DF1_20100218_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,
7,11NPSWRD_WQX-PRSF_WQ_DF1_20100218_L^01,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,
8,11NPSWRD_WQX-PRSF_WQ_DF1_20100317_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
9,11NPSWRD_WQX-PRSF_WQ_DF1_20100317_F/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.0,,,,,,,13.25,,,7.3
10,11NPSWRD_WQX-PRSF_WQ_DF1_20100317_F/1^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,
11,11NPSWRD_WQX-PRSF_WQ_DF1_20100317_F^01,,,,,,,,,,,,,,,,1.502664,,,,,,,,,,,,,,527.0,,,,,,,13.25,,,7.29
12,11NPSWRD_WQX-PRSF_WQ_DF1_20100317_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,
13,11NPSWRD_WQX-PRSF_WQ_DF1_20100317_L,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,
14,11NPSWRD_WQX-PRSF_WQ_DF1_20100317_L/1,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,
15,11NPSWRD_WQX-PRSF_WQ_DF1_20100422_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
16,11NPSWRD_WQX-PRSF_WQ_DF1_20100422_F^01,,,,,,,,,,,,,,,,1.5179040000000001,,,,,,,,,,,,,,513.0,,,,,,,13.08,,,6.8
17,11NPSWRD_WQX-PRSF_WQ_DF1_20100422_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,
18,11NPSWRD_WQX-PRSF_WQ_DF1_20100422_L^01,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
19,11NPSWRD_WQX-PRSF_WQ_DF1_20100519_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,
20,11NPSWRD_WQX-PRSF_WQ_DF1_20100519_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.0,,,,,,,14.1,,,6.71
21,11NPSWRD_WQX-PRSF_WQ_DF1_20100519_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,
22,11NPSWRD_WQX-PRSF_WQ_DF1_20100519_L^01,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
23,11NPSWRD_WQX-PRSF_WQ_DF1_20100624_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,
24,11NPSWRD_WQX-PRSF_WQ_DF1_20100624_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.0,,,,,,,14.35,,,7.02
25,11NPSWRD_WQX-PRSF_WQ_DF1_20100624_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,
26,11NPSWRD_WQX-PRSF_WQ_DF1_20100624_L^01,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,
27,11NPSWRD_WQX-PRSF_WQ_DF1_20100720_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,
28,11NPSWRD_WQX-PRSF_WQ_DF1_20100720_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.0,,,,,,,14.53,,,7.07
29,11NPSWRD_WQX-PRSF_WQ_DF1_20100720_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,
30,11NPSWRD_WQX-PRSF_WQ_DF1_20100720_L^01,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,
31,11NPSWRD_WQX-PRSF_WQ_DF1_20100810_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,
32,11NPSWRD_WQX-PRSF_WQ_DF1_20100810_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.0,,,,,,,14.36,,,8.05
33,11NPSWRD_WQX-PRSF_WQ_DF1_20100810_F^02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81,
34,11NPSWRD_WQX-PRSF_WQ_DF1_20100810_L^01,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,
35,11NPSWRD_WQX-PRSF_WQ_DF1_20100914_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,
36,11NPSWRD_WQX-PRSF_WQ_DF1_20100914_F^01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.9,,,,,,,14.9,,,8.03
