OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2580643,2020-03-23,12:03:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899660775,,,,Fecal Coliform,,200,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L235036-5,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2623870,2020-09-08,08:57:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899665009,,,,Total Coliform,,1300,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L238126-4,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2637375,2020-11-02,10:45:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899660950,,,,Fecal Coliform,,5,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L239215-5,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2595931,2020-05-27,13:05:00,PST,CABEACH_WQX-Crown Bird Sanctuary,STORET-899664813,,,,Enterococcus,,1,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L236074-6,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2631509,2020-10-05,10:38:00,PST,CABEACH_WQX-Crown Bird Sanctuary,STORET-899664722,,,,Fecal Coliform,,2,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,7,CABEACH_WQX,MF (APHA 9222 D),,,,L238639-6,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2592881,2020-05-18,10:35:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899664993,,,,Total Coliform,,330,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L235883-4,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2623873,2020-09-08,09:06:00,PST,CABEACH_WQX-Crown 2001 Shoreline Dr.,STORET-899660757,,,,Total Coliform,,130,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L238126-5,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2599869,2020-06-08,13:32:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899665285,,,,Enterococcus,,8,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L236259-4,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2610388,2020-07-13,08:04:00,PST,CABEACH_WQX-Crown Sunset Rd.,STORET-899665001,,,,Total Coliform,,270,MPN/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,12,CABEACH_WQX,MF (APHA 9222B),,,,L236945-4,,,,,,,,,,,,,,,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2618053,2020-08-24,08:20:00,PST,CABEACH_WQX-Crown Bath House,STORET-899661611,,,,Enterococcus,,3,cfu/100mL,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,,,,,,,,,,,,,,,,,,,4,CABEACH_WQX,EPA 1600,,,,L237816-2,,,,,,,,,,,,,,,STORET
